Date,Hour,PJM_Load
12/08/00,500,27511

12/08/00,600,29587

12/08/00,700,32781

12/08/00,800,35572

12/08/00,900,36245

12/08/00,1000,35955

12/08/00,1100,35931

12/08/00,1200,35544

12/08/00,1300,34883

12/08/00,1400,34469

12/08/00,1500,34334

12/08/00,1600,34118

12/08/00,1700,35330

12/08/00,1800,37654

12/08/00,1900,37549

12/08/00,2000,36762

12/08/00,2100,35983

12/08/00,2200,34869

12/08/00,2300,32878

12/08/00,2400,30463

12/07/00,100,29253

12/07/00,200,28324

12/07/00,300,27880

12/07/00,400,27751

12/07/00,500,28239

12/07/00,600,30082

12/07/00,700,33812

12/07/00,800,36469

12/07/00,900,36554

12/07/00,1000,36083

12/07/00,1100,35630

12/07/00,1200,35634

12/07/00,1300,34953

12/07/00,1400,34720

12/07/00,1500,34372

12/07/00,1600,34571

12/07/00,1700,35851

12/07/00,1800,39322

12/07/00,1900,39672

12/07/00,2000,39126

12/07/00,2100,38625

12/07/00,2200,36958

12/07/00,2300,34080

12/07/00,2400,30956

12/06/00,100,28863

12/06/00,200,28078

12/06/00,300,27773

12/06/00,400,27724

12/06/00,500,28565

12/06/00,600,30493

12/06/00,700,34547

12/06/00,800,37084

12/06/00,900,36981

12/06/00,1000,36252

12/06/00,1100,36076

12/06/00,1200,35315

12/06/00,1300,34629

12/06/00,1400,34416

12/06/00,1500,34395

12/06/00,1600,34672

12/06/00,1700,36102

12/06/00,1800,39488

12/06/00,1900,40150

12/06/00,2000,39470

12/06/00,2100,38796

12/06/00,2200,37343

12/06/00,2300,34593

12/06/00,2400,31947

12/05/00,100,28668

12/05/00,200,27909

12/05/00,300,27339

12/05/00,400,27260

12/05/00,500,27582

12/05/00,600,29514

12/05/00,700,33332

12/05/00,800,36028

12/05/00,900,35635

12/05/00,1000,35092

12/05/00,1100,34393

12/05/00,1200,34113

12/05/00,1300,33562

12/05/00,1400,33001

12/05/00,1500,32868

12/05/00,1600,33044

12/05/00,1700,34505

12/05/00,1800,37957

12/05/00,1900,38215

12/05/00,2000,37764

12/05/00,2100,37274

12/05/00,2200,36115

12/05/00,2300,33657

12/05/00,2400,30704

12/04/00,100,28461

12/04/00,200,27892

12/04/00,300,27765

12/04/00,400,28055

12/04/00,500,29087

12/04/00,600,31072

12/04/00,700,34589

12/04/00,800,37271

12/04/00,900,37670

12/04/00,1000,36418

12/04/00,1100,35774

12/04/00,1200,35026

12/04/00,1300,33942

12/04/00,1400,33254

12/04/00,1500,32597

12/04/00,1600,32706

12/04/00,1700,34103

12/04/00,1800,37476

12/04/00,1900,38457

12/04/00,2000,38348

12/04/00,2100,37817

12/04/00,2200,36330

12/04/00,2300,33680

12/04/00,2400,30798

12/03/00,100,28468

12/03/00,200,27422

12/03/00,300,26915

12/03/00,400,26734

12/03/00,500,26903

12/03/00,600,27473

12/03/00,700,28745

12/03/00,800,29816

12/03/00,900,30704

12/03/00,1000,31378

12/03/00,1100,31344

12/03/00,1200,31059

12/03/00,1300,30622

12/03/00,1400,30093

12/03/00,1500,29594

12/03/00,1600,29404

12/03/00,1700,31442

12/03/00,1800,34906

12/03/00,1900,35822

12/03/00,2000,35882

12/03/00,2100,35516

12/03/00,2200,34429

12/03/00,2300,32438

12/03/00,2400,30262

12/02/00,100,27117

12/02/00,200,25940

12/02/00,300,25531

12/02/00,400,25519

12/02/00,500,25700

12/02/00,600,26525

12/02/00,700,28095

12/02/00,800,29393

12/02/00,900,30903

12/02/00,1000,32162

12/02/00,1100,31871

12/02/00,1200,31383

12/02/00,1300,30573

12/02/00,1400,29947

12/02/00,1500,29441

12/02/00,1600,29261

12/02/00,1700,30749

12/02/00,1800,34117

12/02/00,1900,34851

12/02/00,2000,34448

12/02/00,2100,34066

12/02/00,2200,33276

12/02/00,2300,31897

12/02/00,2400,30206

12/01/00,100,28391

12/01/00,200,27545

12/01/00,300,25577

12/01/00,400,25492

12/01/00,500,26057

12/01/00,600,27977

12/01/00,700,31767

12/01/00,800,34325

12/01/00,900,34622

12/01/00,1000,34078

12/01/00,1100,33741

12/01/00,1200,33321

12/01/00,1300,33367

12/01/00,1400,32758

12/01/00,1500,32356

12/01/00,1600,32300

12/01/00,1700,33086

12/01/00,1800,35662

12/01/00,1900,35903

12/01/00,2000,35103

12/01/00,2100,34319

12/01/00,2200,33201

12/01/00,2300,31648

12/01/00,2400,29156

11/30/00,100,25509

11/30/00,200,24601

11/30/00,300,24294

11/30/00,400,24041

11/30/00,500,24713

11/30/00,600,26838

11/30/00,700,31023

11/30/00,800,33203

11/30/00,900,33428

11/30/00,1000,33534

11/30/00,1100,32964

11/30/00,1200,33359

11/30/00,1300,32915

11/30/00,1400,32907

11/30/00,1500,32555

11/30/00,1600,32542

11/30/00,1700,33946

11/30/00,1800,36652

11/30/00,1900,36978

11/30/00,2000,36551

11/30/00,2100,35720

11/30/00,2200,34445

11/30/00,2300,33328

11/30/00,2400,33528

11/29/00,100,25427

11/29/00,200,24695

11/29/00,300,24389

11/29/00,400,24363

11/29/00,500,24988

11/29/00,600,27103

11/29/00,700,31408

11/29/00,800,33341

11/29/00,900,33500

11/29/00,1000,32937

11/29/00,1100,32471

11/29/00,1200,31897

11/29/00,1300,31339

11/29/00,1400,31195

11/29/00,1500,31105

11/29/00,1600,31362

11/29/00,1700,33154

11/29/00,1800,35703

11/29/00,1900,35741

11/29/00,2000,35250

11/29/00,2100,34348

11/29/00,2200,32617

11/29/00,2300,29984

11/29/00,2400,27435

11/28/00,100,24409

11/28/00,200,23573

11/28/00,300,23148

11/28/00,400,23105

11/28/00,500,23662

11/28/00,600,25600

11/28/00,700,29599

11/28/00,800,31974

11/28/00,900,32430

11/28/00,1000,32209

11/28/00,1100,31862

11/28/00,1200,31708

11/28/00,1300,31212

11/28/00,1400,31127

11/28/00,1500,30819

11/28/00,1600,30857

11/28/00,1700,32170

11/28/00,1800,34875

11/28/00,1900,35182

11/28/00,2000,34578

11/28/00,2100,33827

11/28/00,2200,32357

11/28/00,2300,29800

11/28/00,2400,27266

11/27/00,100,22816

11/27/00,200,21951

11/27/00,300,21599

11/27/00,400,21626

11/27/00,500,22450

11/27/00,600,24366

11/27/00,700,27846

11/27/00,800,30069

11/27/00,900,30706

11/27/00,1000,30926

11/27/00,1100,31041

11/27/00,1200,31067

11/27/00,1300,30928

11/27/00,1400,30841

11/27/00,1500,30620

11/27/00,1600,30753

11/27/00,1700,32026

11/27/00,1800,34558

11/27/00,1900,34779

11/27/00,2000,34036

11/27/00,2100,33129

11/27/00,2200,31547

11/27/00,2300,29104

11/27/00,2400,26166

11/26/00,100,24607

11/26/00,200,23370

11/26/00,300,22635

11/26/00,400,22261

11/26/00,500,22024

11/26/00,600,22198

11/26/00,700,22822

11/26/00,800,23704

11/26/00,900,25282

11/26/00,1000,26677

11/26/00,1100,27530

11/26/00,1200,27773

11/26/00,1300,27756

11/26/00,1400,27198

11/26/00,1500,26834

11/26/00,1600,26650

11/26/00,1700,27868

11/26/00,1800,30652

11/26/00,1900,30811

11/26/00,2000,30279

11/26/00,2100,29625

11/26/00,2200,28384

11/26/00,2300,26835

11/26/00,2400,24512

11/25/00,100,26606

11/25/00,200,25642

11/25/00,300,25255

11/25/00,400,25131

11/25/00,500,25255

11/25/00,600,25932

11/25/00,700,27073

11/25/00,800,28320

11/25/00,900,30154

11/25/00,1000,31307

11/25/00,1100,31571

11/25/00,1200,31198

11/25/00,1300,30535

11/25/00,1400,29903

11/25/00,1500,29679

11/25/00,1600,29758

11/25/00,1700,31161

11/25/00,1800,32920

11/25/00,1900,32425

11/25/00,2000,31774

11/25/00,2100,30939

11/25/00,2200,30013

11/25/00,2300,28347

11/25/00,2400,26490

11/24/00,100,26543

11/24/00,200,25780

11/24/00,300,25407

11/24/00,400,25324

11/24/00,500,25855

11/24/00,600,27008

11/24/00,700,28992

11/24/00,800,30259

11/24/00,900,31334

11/24/00,1000,31494

11/24/00,1100,31295

11/24/00,1200,30762

11/24/00,1300,29984

11/24/00,1400,29271

11/24/00,1500,28579

11/24/00,1600,28644

11/24/00,1700,30076

11/24/00,1800,33237

11/24/00,1900,33654

11/24/00,2000,33142

11/24/00,2100,32413

11/24/00,2200,31376

11/24/00,2300,29987

11/24/00,2400,28322

11/23/00,100,27926

11/23/00,200,26805

11/23/00,300,26252

11/23/00,400,26147

11/23/00,500,26329

11/23/00,600,27006

11/23/00,700,28137

11/23/00,800,28943

11/23/00,900,30215

11/23/00,1000,31056

11/23/00,1100,31269

11/23/00,1200,30877

11/23/00,1300,29777

11/23/00,1400,28403

11/23/00,1500,27361

11/23/00,1600,26856

11/23/00,1700,27259

11/23/00,1800,29264

11/23/00,1900,29750

11/23/00,2000,29926

11/23/00,2100,30201

11/23/00,2200,30045

11/23/00,2300,29274

11/23/00,2400,27736

11/22/00,100,28805

11/22/00,200,27941

11/22/00,300,27590

11/22/00,400,27686

11/22/00,500,28261

11/22/00,600,30174

11/22/00,700,33736

11/22/00,800,35862

11/22/00,900,36262

11/22/00,1000,36347

11/22/00,1100,36192

11/22/00,1200,35704

11/22/00,1300,34855

11/22/00,1400,34325

11/22/00,1500,33760

11/22/00,1600,33479

11/22/00,1700,34588

11/22/00,1800,37435

11/22/00,1900,37595

11/22/00,2000,36673

11/22/00,2100,35885

11/22/00,2200,34363

11/22/00,2300,32313

11/22/00,2400,30038

11/21/00,100,27484

11/21/00,200,26577

11/21/00,300,26236

11/21/00,400,26311

11/21/00,500,26922

11/21/00,600,28880

11/21/00,700,32825

11/21/00,800,34871

11/21/00,900,34993

11/21/00,1000,34880

11/21/00,1100,34954

11/21/00,1200,34622

11/21/00,1300,34102

11/21/00,1400,33903

11/21/00,1500,33718

11/21/00,1600,33734

11/21/00,1700,34944

11/21/00,1800,37734

11/21/00,1900,38083

11/21/00,2000,37707

11/21/00,2100,37107

11/21/00,2200,35617

11/21/00,2300,33284

11/21/00,2400,30633

11/20/00,100,26455

11/20/00,200,25792

11/20/00,300,25613

11/20/00,400,25867

11/20/00,500,26633

11/20/00,600,28760

11/20/00,700,32693

11/20/00,800,34705

11/20/00,900,34838

11/20/00,1000,34511

11/20/00,1100,34205

11/20/00,1200,33780

11/20/00,1300,33050

11/20/00,1400,32717

11/20/00,1500,32426

11/20/00,1600,32862

11/20/00,1700,34279

11/20/00,1800,36508

11/20/00,1900,36790

11/20/00,2000,36220

11/20/00,2100,35536

11/20/00,2200,34119

11/20/00,2300,31559

11/20/00,2400,29172

11/19/00,100,24756

11/19/00,200,23747

11/19/00,300,23381

11/19/00,400,23109

11/19/00,500,23379

11/19/00,600,23823

11/19/00,700,24891

11/19/00,800,25706

11/19/00,900,27439

11/19/00,1000,28489

11/19/00,1100,28728
11/19/00,1200,28740

11/19/00,1300,28679

11/19/00,1400,28519

11/19/00,1500,28424

11/19/00,1600,28418

11/19/00,1700,29848

11/19/00,1800,32433

11/19/00,1900,32806

11/19/00,2000,32761

11/19/00,2100,32303

11/19/00,2200,31278

11/19/00,2300,29596

11/19/00,2400,27752

11/18/00,100,25494

11/18/00,200,24529

11/18/00,300,24135

11/18/00,400,24046

11/18/00,500,24134

11/18/00,600,24959

11/18/00,700,26480

11/18/00,800,27613

11/18/00,900,29185

11/18/00,1000,29662

11/18/00,1100,29769

11/18/00,1200,29327

11/18/00,1300,28670

11/18/00,1400,27989

11/18/00,1500,27558

11/18/00,1600,27707

11/18/00,1700,29289

11/18/00,1800,31626

11/18/00,1900,31381

11/18/00,2000,30873

11/18/00,2100,30282

11/18/00,2200,29456

11/18/00,2300,28072

11/18/00,2400,26434

11/17/00,100,24726

11/17/00,200,23704

11/17/00,300,23220

11/17/00,400,23249

11/17/00,500,23703

11/17/00,600,25752

11/17/00,700,29513

11/17/00,800,31592

11/17/00,900,31800

11/17/00,1000,31556

11/17/00,1100,31536

11/17/00,1200,31149

11/17/00,1300,30820

11/17/00,1400,30726

11/17/00,1500,30589

11/17/00,1600,30409

11/17/00,1700,31334

11/17/00,1800,33746

11/17/00,1900,33843

11/17/00,2000,33236

11/17/00,2100,32362

11/17/00,2200,31003

11/17/00,2300,29361

11/17/00,2400,27416

11/16/00,100,25921

11/16/00,200,25176

11/16/00,300,24839

11/16/00,400,24930

11/16/00,500,25715

11/16/00,600,27604

11/16/00,700,31749

11/16/00,800,33429

11/16/00,900,33433

11/16/00,1000,33309

11/16/00,1100,33053

11/16/00,1200,32643

11/16/00,1300,32018

11/16/00,1400,31952

11/16/00,1500,31955

11/16/00,1600,32011

11/16/00,1700,32966

11/16/00,1800,35241

11/16/00,1900,35050

11/16/00,2000,34256

11/16/00,2100,33433

11/16/00,2200,31743

11/16/00,2300,29208

11/16/00,2400,26573

11/15/00,100,25374

